Box Type,Serial Nb,Line Name,Point Nb,State,Auto Test,Line Configuration,Synchronization Source,Synchronization Redundancy,GPS Latitude (DMS),GPS Longitude (DMS),Battery Level (V),Leakage Low (mA),Leakage High (mA),Internal Memory Occupancy Rate,IP adress,Version,SOH Synch State,SOH Auto Test,SOH Battery,SOH Storage,SOH Leakage,SOH Age,LRC Status
"SCI_508",111,N/A,N/A,"On","Ok",LineConfig_08/18/2022 14:01:38,External,"","22° 29' 40.02548"" N","88° 34' 55.83435"" E",12.00,-0.00,0.00,0,"172.27.0.1","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
"CX_508",1806996,N/A,N/A,"On","Ok",LineConfig_08/18/2022 14:01:38,Not Synchronized,"","0° 00' 00.0"" N","0° 00' 00.0"" E",12.77,-0.00,0.00,0,"172.27.152.9","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
"CX_508",1806978,N/A,N/A,"On","Ok",LineConfig_08/18/2022 14:01:38,From Gps,"","22° 29' 39.83322"" N","88° 34' 55.44983"" E",12.40,-0.00,0.00,0,"172.27.152.1","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
"CX_508",1806981,N/A,N/A,"On","Ok",LineConfig_08/18/2022 14:01:38,From Gps,"","22° 29' 39.81949"" N","88° 34' 55.3125"" E",12.36,-0.00,0.00,0,"172.27.152.4","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
"CX_508",1807000,N/A,N/A,"On","Ok",LineConfig_08/18/2022 14:01:38,From Gps,"","22° 29' 40.02548"" N","88° 34' 55.20264"" E",12.72,-0.00,0.00,0,"172.27.152.0","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
"CX_508",1806985,N/A,N/A,"On","Ok",LineConfig_08/18/2022 14:01:38,Not Synchronized,"","22° 29' 39.89502"" N","88° 34' 54.90051"" E",12.45,-0.00,0.00,0,"172.27.152.3","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
"CX_508",1953576,N/A,N/A,"On","Ok",LineConfig_08/18/2022 14:01:38,From Gps,"","22° 29' 39.89502"" N","88° 34' 55.03784"" E",12.74,-0.00,0.00,0,"172.27.152.5","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
"CX_508",1953564,N/A,N/A,"On","Ok",LineConfig_08/18/2022 14:01:38,From Gps,"","22° 29' 39.65469"" N","88° 34' 55.25757"" E",12.59,-0.00,0.00,0,"172.27.152.7","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
"CX_508",1953591,N/A,N/A,"On","Ok",LineConfig_08/18/2022 14:01:38,From Gps,"","22° 29' 39.92935"" N","88° 34' 55.25757"" E",12.89,-0.00,0.00,0,"172.27.152.6","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
"CX_508",1806995,N/A,N/A,"On","Ok",LineConfig_08/18/2022 14:01:38,Not Synchronized,"","0° 00' 00.0"" N","0° 00' 00.0"" E",12.79,-0.00,0.00,0,"172.27.152.8","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
"CX_508",1953589,N/A,N/A,"On","Ok",LineConfig_08/18/2022 14:01:38,From Gps,"","22° 29' 39.86069"" N","88° 34' 55.47729"" E",12.52,-0.00,0.00,0,"172.27.152.2","2.5.16","N/A","N/A","N/A","N/A","N/A",N/A,"No Lrc Detected"
