Type,Serial Nb,Channel Nb,Line Name,Point Nb,State,Auto Test,Easting (m),Northing (m),Elevation (m),Noise (μV),Distortion (dB),Phase(μs),Gain (%),CMRR (dB),Version,Last Test Date,Cx Master,SOH Instr. State,SOH Synchro State
"FDU_508",92148,1,110.00,505.00,"Test","Ok",0,0,0,0.36,-117.22,1.30,-0.16,133.36,"2.5.16","08/20/2022 14:20:42 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",1052726,1,110.00,409.00,"Test","Ok",0,0,0,0.37,-115.99,3.28,-0.12,138.56,"2.5.10","08/20/2022 14:20:42 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",1053270,1,110.00,519.00,"Test","Ok",0,0,0,0.36,-113.40,2.89,-0.14,137.78,"2.5.10","08/20/2022 14:20:42 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",1053347,1,110.00,602.00,"Test","Ok",0,0,0,0.36,-113.39,1.99,-0.11,138.36,"2.5.10","08/20/2022 14:20:42 UTC+05:30",1807002,"N/A","N/A"
"FDU_508",1058580,1,110.00,517.00,"Test","Ok",0,0,0,0.38,-113.34,1.51,-0.14,138.18,"2.5.10","08/20/2022 14:20:42 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",1060501,1,110.00,520.00,"Test","Ok",0,0,0,0.39,-113.58,1.68,-0.13,122.80,"2.5.10","08/20/2022 14:20:42 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",1067055,1,110.00,375.00,"Test","Ok",0,0,0,0.39,-115.70,-2.14,-0.12,124.16,"2.5.10","08/20/2022 14:20:42 UTC+05:30",1953576,"N/A","N/A"
"FDU_508",1067436,1,110.00,461.00,"Test","Ok",0,0,0,0.38,-114.49,-2.57,-0.14,140.47,"2.5.4","08/20/2022 14:20:42 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",1068365,1,110.00,398.00,"Test","Ok",0,0,0,0.38,-115.36,1.89,-0.10,141.74,"2.5.10","08/20/2022 14:20:42 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",1069099,1,110.00,423.00,"Test","Ok",0,0,0,0.37,-115.53,-2.40,-0.08,128.30,"2.5.10","08/20/2022 14:20:42 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",1069332,1,110.00,399.00,"Test","Ok",0,0,0,0.37,-115.89,-1.43,-0.09,131.23,"2.5.10","08/20/2022 14:20:42 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",1069493,1,110.00,557.00,"Test","Ok",0,0,0,0.37,-115.43,-0.70,-0.12,130.51,"2.5.10","08/20/2022 14:20:42 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",181998,1,110.00,500.00,"Test","Ok",0,0,0,0.38,-117.59,-1.48,-0.14,136.47,"2.5.16","08/20/2022 14:20:42 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",180077,1,110.00,499.00,"Test","Ok",0,0,0,0.36,-118.08,-2.27,-0.15,124.91,"2.5.16","08/20/2022 14:20:42 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",163572,1,110.00,498.00,"Test","Ok",0,0,0,0.37,-115.93,0.46,-0.14,138.85,"2.5.16","08/20/2022 14:20:42 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",180796,1,110.00,497.00,"Test","Ok",0,0,0,0.37,-117.42,-1.21,-0.11,130.27,"2.5.16","08/20/2022 14:20:42 UTC+05:30",1806993,"N/A","N/A"
