Type,Serial Nb,Channel Nb,Line Name,Point Nb,State,Auto Test,Easting (m),Northing (m),Elevation (m),Noise (μV),Distortion (dB),Phase(μs),Gain (%),CMRR (dB),Version,Last Test Date,Cx Master,SOH Instr. State,SOH Synchro State
"FDU_508",2050047,1,110.00,514.00,"Test","Ok",0,0,0,0.37,-116.89,4.01,-0.14,131.91,"2.5.16","08/20/2022 11:30:12 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",2024713,1,110.00,557.00,"Test","Ok",0,0,0,0.36,-117.12,2.71,-0.14,126.61,"2.5.16","08/20/2022 11:30:12 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",2024714,1,110.00,558.00,"Test","Ok",0,0,0,0.37,-116.03,2.74,-0.13,153.31,"2.5.16","08/20/2022 11:30:12 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",2024816,1,110.00,471.00,"Test","Ok",0,0,0,0.36,-115.52,4.36,-0.13,143.66,"2.5.16","08/20/2022 11:30:12 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",2024819,1,110.00,470.00,"Test","Ok",0,0,0,0.37,-116.29,4.35,-0.14,150.03,"2.5.16","08/20/2022 11:30:12 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",2024968,1,110.00,394.00,"Test","Ok",0,0,0,0.37,-114.75,2.71,-0.13,128.71,"2.5.16","08/20/2022 11:30:12 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",2024971,1,110.00,393.00,"Test","Ok",0,0,0,0.35,-115.93,2.54,-0.13,125.92,"2.5.16","08/20/2022 11:30:12 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",2025001,1,110.00,439.00,"Test","Ok",0,0,0,0.36,-117.51,4.22,-0.12,139.69,"2.5.16","08/20/2022 11:30:12 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",2025003,1,110.00,438.00,"Test","Ok",0,0,0,0.36,-118.12,4.55,-0.14,134.58,"2.5.16","08/20/2022 11:30:12 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",2025456,1,110.00,469.00,"Test","Ok",0,0,0,0.38,-117.29,2.79,-0.13,125.60,"2.5.16","08/20/2022 11:30:12 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",2025459,1,110.00,472.00,"Test","Ok",0,0,0,0.35,-113.67,2.64,-0.13,134.27,"2.5.16","08/20/2022 11:30:12 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",2025961,1,110.00,551.00,"Test","Ok",0,0,0,0.36,-112.94,1.92,-0.11,136.31,"2.5.16","08/20/2022 11:30:12 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",2025963,1,110.00,552.00,"Test","Ok",0,0,0,0.37,-115.53,1.17,-0.14,124.87,"2.5.16","08/20/2022 11:30:12 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",2026017,1,110.00,549.00,"Test","Ok",0,0,0,0.36,-116.47,2.03,-0.11,137.24,"2.5.16","08/20/2022 11:30:12 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",2026019,1,110.00,550.00,"Test","Ok",0,0,0,0.36,-116.62,2.22,-0.12,125.89,"2.5.16","08/20/2022 11:30:12 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",2049894,1,110.00,508.00,"Test","Ok",0,0,0,0.36,-115.28,3.84,-0.13,135.15,"2.5.16","08/20/2022 11:30:12 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",2023341,1,110.00,440.00,"Test","Ok",0,0,0,0.36,-116.92,3.55,-0.13,141.02,"2.5.16","08/20/2022 11:30:12 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",2050276,1,110.00,515.00,"Test","Ok",0,0,0,0.36,-115.01,1.89,-0.12,126.50,"2.5.16","08/20/2022 11:30:12 UTC+05:30",1806993,"N/A","N/A"
"FDU_508",2050556,1,110.00,434.00,"Test","Ok",0,0,0,0.37,-115.97,3.63,-0.10,126.08,"2.5.16","08/20/2022 11:30:12 UTC+05:30",1806992,"N/A","N/A"
"FDU_508",2050557,1,110.00,435.00,"Test","Ok",0,0,0,0.36,-116.27,4.64,-0.11,136.94,"2.5.16","08/20/2022 11:30:12 UTC+05:30",1806992,"N/A","N/A"
